Hospitalisation ,20/03/18,20/03/19,20/03/20,20/03/21,20/03/22,20/03/23,20/03/24,20/03/25,20/03/26,20/03/27,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,
NL,,,,,,,,,,,,,,,,,,,,,,6,6,,,
PE,,,,,,,,,,,,,,,,,,,,,,0,0,,,
NS,,,,,,,1,2,5,2,3,3,4,4,5,5,5,4,6,10,11,11,6,,,
NB,,,,,,,,,,,,,,1,4,3,4,4,,7,7,6,6,,,
QC,6,7,10,19,24,45,67,78,106,141,164,192,235,286,307,365,429,478,525,533,583,632,679,733,778,
ON,,,,,,,,,,,,,,,,405,462,506,523,589,614,605,632,,,
MB,,,,,,,,,,,,,4,3,4,5,9,10,11,11,12,12,11,,,
SK,,,,,,,,,,,,,,,,4,3,4,4,4,7,8,8,,,
AB,3,3,5,5,11,11,12,12,11,13,15,16,17,15,16,18,24,28,35,28,27,28,33,,,
BC,,,,,,83,96,107,110,123,,,175,204,225,244,263,,,290,298,309,317,,,
YT,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Soins intensifs,20/03/18,20/03/19,20/03/20,20/03/21,20/03/22,20/03/23,20/03/24,20/03/25,20/03/26,20/03/27,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,
NL,,,,,,,,,,,,,,,,,,,,,,2,2,,,
PE,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,,,,,,,,,,,,,,,,,,,,,,5,4,,,
NB,,,,,,,,,,,,,,,,1,1,1,,3,4,4,4,,,
QC,4,0,0,10,13,20,31,35,43,50,57,72,78,82,82,96,122,130,154,164,164,181,196,186,211,
ON,,,,,,,,,,,,,,,,167,194,196,200,216,233,246,264,,,
MB,,,,,,,,,,,,,1,2,3,4,6,6,7,7,6,6,5,,,
SK,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,,,
AB,3,2,5,6,7,7,7,8,10,10,11,12,11,11,13,14,15,14,13,14,15,16,14,,,
BC,,,,,,23,29,41,42,46,,,,,,68,64,,,72,66,61,67,,,
YT,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Morts,20/03/18,20/03/19,20/03/20,20/03/21,20/03/22,20/03/23,20/03/24,20/03/25,20/03/26,20/03/27,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,00/01/02
NL,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,,,3
PE,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,,,,,,,,,,,,,,,,,,,,,,1,2,,,2
NB,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,1,1,1,4,4,4,4,6,8,18,22,22,25,31,33,36,61,75,94,121,150,175,216,241,289,328
ON,1,2,2,3,5,6,8,13,15,18,18,19,33,33,37,53,67,94,119,132,153,174,222,,,274
MB,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,3,3,3,,,4
SK,,,,,,,,,,,,,2,2,3,3,3,3,3,3,3,3,3,,,4
AB,,,,1,1,1,2,2,2,2,2,2,8,9,9,13,18,18,23,24,26,29,32,,,40
BC,,,8,10,10,13,13,14,14,16,16,17,19,24,25,31,35,35,38,39,43,48,50,,,58
YT,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,,,,,,,,,,,,,,,,,,,,,,,,,,
