Code,Nom,Population
4,Ahuntsic–Cartierville,134245
7,Anjou,42796
45,Baie-D'Urfé,3823
46,Beaconsfield,19324
61,Côte-des-Neiges–Notre-Dame-de-Grâce,166520
56,Côte-Saint-Luc,32448
65,Dollard-des-Ormeaux,48899
51,Dorval,18980
54,Hampstead,6973
59,Kirkland,20151
28,Lachine,44489
22,LaSalle,76853
39,L'Île-Bizard–Sainte-Geneviève,18413
50,L'Île-Dorval,5
10,Mercier–Hochelaga-Maisonneuve,136024
60,Montréal-Est,3850
2,Montréal-Nord,84234
52,Montréal-Ouest,5050
62,Mont-Royal,20276
11,Outremont,23954
38,Pierrefonds–Roxboro,69297
5,Plateau-Mont-Royal,104000
47,Pointe-Claire,31380
57,Rivière-des-Prairies–Pointe-aux-Trembles,106743
8,Rosemont–La Petite Patrie,139590
44,Sainte-Anne-de-Bellevue,4958
29,Saint-Laurent,98828
6,Saint-Léonard,78305
43,Senneville,921
63,Sud-Ouest,78151
16,Verdun,69229
9,Ville-Marie,89170
66,Villeray–Saint-Michel–Parc-Extension,143853
64,Westmount,20312
