Code,Nom,Type,20/03/28,20/03/29,20/03/30,20/03/31,20/04/01,20/04/02,20/04/03,20/04/04,20/04/05,20/04/06,20/04/07,20/04/08,20/04/09,20/04/10,20/04/11,20/04/12,20/04/13,20/04/14,20/04/15,20/04/16,20/04/17,20/04/18,20/04/19,20/04/20,20/04/21,20/04/22,20/04/23,20/04/25,20/04/26,20/04/27
4,Ahuntsic–Cartierville,a,54,54,66,66,98,106,131,143,176,200,223,247,277,305,333,353,392,417,481,594,663,663,663,753,802,835,946,973,1007,1064
7,Anjou,a,9,9,14,14,19,19,26,35,37,42,47,59,67,72,81,87,92,97,113,127,138,138,138,154,173,188,239,256,279,288
45,Baie-D'Urfé,v,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
46,Beaconsfield,v,10,10,9,9,10,10,10,10,10,11,13,14,14,14,14,13,13,13,13,15,15,15,15,16,17,17,24,24,25,25
61,Côte-des-Neiges–Notre-Dame-de-Grâce,a,161,161,182,182,253,281,323,370,384,428,453,501,522,538,543,559,640,671,717,799,839,839,839,907,955,987,1 053,1071,1097,1137
56,Côte-Saint-Luc,v,107,107,120,120,147,154,169,192,207,232,241,262,264,266,267,267,270,279,286,292,300,300,300,316,321,325,330,330,335,346
65,Dollard-des-Ormeaux,v,17,17,18,18,28,30,36,45,50,54,64,66,68,71,72,73,75,76,82,92,96,96,96,103,108,109,126,128,130,136
51,Dorval,v,7,7,10,10,16,17,23,26,27,31,37,37,37,37,37,38,41,41,44,47,49,49,49,55,61,62,73,77,77,78
54,Hampstead,v,18,18,20,20,22,23,26,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,29,32,33,33,37,38,37,38
59,Kirkland,v,7,7,7,7,8,8,11,12,12,12,12,14,15,15,17,17,18,18,20,23,25,25,25,25,26,26,25,26,27,27
28,Lachine,a,19,19,22,22,32,35,45,57,59,71,78,83,83,84,85,87,89,93,99,104,108,108,108,114,120,126,146,149,155,157
22,LaSalle,a,66,66,78,78,119,135,170,204,219,237,267,286,298,312,313,324,339,349,360,379,384,384,384,399,406,425,469,478,485,497
39,L'Île-Bizard–Sainte-Geneviève,a,5,5,7,7,9,9,11,14,15,16,20,19,22,22,25,25,27,28,29,32,31,31,31,38,44,45,49,53,54,57
50,L'Île-Dorval,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mercier–Hochelaga-Maisonneuve,a,40,40,62,62,91,98,126,145,151,182,195,213,232,255,276,298,330,359,396,459,488,488,488,542,569,618,761,791,830,852
60,Montréal-Est,v,1,1,1,1,1,1,1,1,1,5,5,6,7,8,8,7,7,7,7,8,8,8,8,11,12,13,15,14,14,16
2,Montréal-Nord,a,26,26,33,33,50,55,79,99,117,149,165,193,238,263,291,326,357,404,443,527,577,577,577,722,785,839,1 001,1058,1110,1153
52,Montréal-Ouest,v,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,9,9,9,10
62,Mont-Royal,v,18,18,24,24,31,33,34,36,36,37,38,44,44,45,46,47,49,51,53,60,63,63,63,67,76,87,91,92,96,104
11,Outremont,a,56,56,61,61,88,95,103,113,113,119,131,139,143,145,144,147,148,153,156,159,162,162,162,165,167,170,182,182,183,188
38,Pierrefonds–Roxboro,a,26,26,27,27,39,39,45,50,54,56,69,75,78,83,86,88,90,93,100,108,110,110,110,117,124,127,147,154,155,156
5,Plateau-Mont-Royal,a,67,67,80,80,120,134,156,168,174,186,203,220,232,233,235,248,259,275,295,348,363,363,363,380,386,401,435,465,488,508
47,Pointe-Claire,v,11,11,11,11,14,15,18,21,23,24,30,32,33,33,33,34,37,37,38,40,40,40,40,46,50,52,63,62,63,67
57,Rivière-des-Prairies–Pointe-aux-Trembles,a,41,41,51,51,73,83,102,117,133,148,161,180,194,216,235,253,285,313,358,413,444,444,444,529,577,647,775,817,869,908
8,Rosemont–La Petite Patrie,a,80,80,97,97,133,141,166,181,194,217,227,247,260,278,301,317,336,340,357,401,418,418,418,467,489,527,574,600,629,652
44,Sainte-Anne-de-Bellevue,v,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,9
29,Saint-Laurent,a,40,40,49,49,81,90,103,119,128,141,152,163,167,172,181,191,200,213,223,253,271,271,271,302,319,340,398,415,433,452
6,Saint-Léonard,a,17,17,20,20,37,40,48,67,77,96,103,124,139,153,168,184,210,224,240,273,294,294,294,353,372,394,438,480,509,531
43,Senneville,v,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
63,Sud-Ouest,a,46,46,56,56,83,95,107,124,134,162,171,184,210,224,227,236,268,286,310,328,350,350,350,381,406,427,469,491,500,525
16,Verdun,a,36,36,43,43,77,85,97,105,117,134,141,154,174,183,186,198,240,276,301,332,350,350,350,417,462,505,515,523,535,561
9,Ville-Marie,a,67,67,78,78,114,117,127,135,140,152,164,174,185,190,193,205,215,225,238,252,261,261,261,274,287,302,305,313,322,326
66,Villeray–Saint-Michel–Parc-Extension,a,41,41,56,56,88,103,126,149,160,185,199,242,266,292,302,326,367,390,429,487,529,529,529,602,624,660,798,837,871,909
64,Westmount,v,25,25,29,29,33,38,39,44,46,52,55,57,57,58,59,60,62,63,64,67,70,70,70,72,74,77,90,91,91,101
,Territoire à confirmer,,487,487,653,653,715,735,788,888,938,985,1067,1181,1245,1248,1284,1339,1126,993,983,986,964,964,964,968,990,990,563,609,604,601
